algoritmo,array_nombre,n,time_ms,mem_est_bytes
mergesort,100000_aleatorio_D1_a.txt,100000,6.503395,70832128
mergesort,100000_aleatorio_D1_b.txt,100000,6.904297,70832128
mergesort,100000_aleatorio_D1_c.txt,100000,7.015837,70832128
mergesort,100000_aleatorio_D7_a.txt,100000,10.431048,70832128
mergesort,100000_aleatorio_D7_b.txt,100000,10.445699,70832128
mergesort,100000_aleatorio_D7_c.txt,100000,11.555292,70832128
mergesort,100000_ascendente_D1_a.txt,100000,5.576902,70832128
mergesort,100000_ascendente_D1_b.txt,100000,4.556861,70832128
mergesort,100000_ascendente_D1_c.txt,100000,5.970638,70832128
mergesort,100000_ascendente_D7_a.txt,100000,4.404059,70832128
mergesort,100000_ascendente_D7_b.txt,100000,4.096703,70832128
mergesort,100000_ascendente_D7_c.txt,100000,4.376941,70832128
mergesort,100000_descendente_D1_a.txt,100000,4.678397,70832128
mergesort,100000_descendente_D1_b.txt,100000,4.273827,70832128
mergesort,100000_descendente_D1_c.txt,100000,4.864775,70832128
mergesort,100000_descendente_D7_a.txt,100000,4.177547,70832128
mergesort,100000_descendente_D7_b.txt,100000,4.355141,70832128
mergesort,100000_descendente_D7_c.txt,100000,4.448107,70832128
mergesort,1000_aleatorio_D1_a.txt,1000,0.079336,70832128
mergesort,1000_aleatorio_D1_b.txt,1000,0.065866,70832128
mergesort,1000_aleatorio_D1_c.txt,1000,0.067750,70832128
mergesort,1000_aleatorio_D7_a.txt,1000,0.161610,70832128
mergesort,1000_aleatorio_D7_b.txt,1000,0.082265,70832128
mergesort,1000_aleatorio_D7_c.txt,1000,0.077541,70832128
mergesort,1000_ascendente_D1_a.txt,1000,0.056622,70832128
mergesort,1000_ascendente_D1_b.txt,1000,0.041289,70832128
mergesort,1000_ascendente_D1_c.txt,1000,0.039978,70832128
mergesort,1000_ascendente_D7_a.txt,1000,0.039089,70832128
mergesort,1000_ascendente_D7_b.txt,1000,0.039075,70832128
mergesort,1000_ascendente_D7_c.txt,1000,0.038675,70832128
mergesort,1000_descendente_D1_a.txt,1000,0.043305,70832128
mergesort,1000_descendente_D1_b.txt,1000,0.041852,70832128
mergesort,1000_descendente_D1_c.txt,1000,0.042026,70832128
mergesort,1000_descendente_D7_a.txt,1000,0.040955,70832128
mergesort,1000_descendente_D7_b.txt,1000,0.038850,70832128
mergesort,1000_descendente_D7_c.txt,1000,0.039355,70832128
mergesort,10_aleatorio_D1_a.txt,10,0.002018,70832128
mergesort,10_aleatorio_D1_b.txt,10,0.001893,70832128
mergesort,10_aleatorio_D1_c.txt,10,0.001756,70832128
mergesort,10_aleatorio_D7_a.txt,10,0.002017,70832128
mergesort,10_aleatorio_D7_b.txt,10,0.001756,70832128
mergesort,10_aleatorio_D7_c.txt,10,0.002292,70832128
mergesort,10_ascendente_D1_a.txt,10,0.001982,70832128
mergesort,10_ascendente_D1_b.txt,10,0.001866,70832128
mergesort,10_ascendente_D1_c.txt,10,0.001624,70832128
mergesort,10_ascendente_D7_a.txt,10,0.001952,70832128
mergesort,10_ascendente_D7_b.txt,10,0.001999,70832128
mergesort,10_ascendente_D7_c.txt,10,0.001936,70832128
mergesort,10_descendente_D1_a.txt,10,0.002285,70832128
mergesort,10_descendente_D1_b.txt,10,0.001773,70832128
mergesort,10_descendente_D1_c.txt,10,0.002490,70832128
mergesort,10_descendente_D7_a.txt,10,0.001808,70832128
mergesort,10_descendente_D7_b.txt,10,0.001979,70832128
mergesort,10_descendente_D7_c.txt,10,0.001869,70832128
mergesort,100000_aleatorio_D1_a.txt,100000,7.003376,71049216
mergesort,100000_aleatorio_D1_b.txt,100000,6.396012,71049216
mergesort,100000_aleatorio_D1_c.txt,100000,6.791498,71049216
mergesort,100000_aleatorio_D7_a.txt,100000,10.098466,71049216
mergesort,100000_aleatorio_D7_b.txt,100000,10.709922,71049216
mergesort,100000_aleatorio_D7_c.txt,100000,10.121592,71049216
mergesort,100000_ascendente_D1_a.txt,100000,4.008770,71049216
mergesort,100000_ascendente_D1_b.txt,100000,3.883293,71049216
mergesort,100000_ascendente_D1_c.txt,100000,4.061312,71049216
mergesort,100000_ascendente_D7_a.txt,100000,4.123276,71049216
mergesort,100000_ascendente_D7_b.txt,100000,4.163938,71049216
mergesort,100000_ascendente_D7_c.txt,100000,4.130427,71049216
mergesort,100000_descendente_D1_a.txt,100000,4.094666,71049216
mergesort,100000_descendente_D1_b.txt,100000,5.213480,71049216
mergesort,100000_descendente_D1_c.txt,100000,4.044335,71049216
mergesort,100000_descendente_D7_a.txt,100000,4.185173,71049216
mergesort,100000_descendente_D7_b.txt,100000,4.550901,71049216
mergesort,100000_descendente_D7_c.txt,100000,4.358346,71049216
mergesort,1000_aleatorio_D1_a.txt,1000,0.066767,71049216
mergesort,1000_aleatorio_D1_b.txt,1000,0.065536,71049216
mergesort,1000_aleatorio_D1_c.txt,1000,0.065239,71049216
mergesort,1000_aleatorio_D7_a.txt,1000,0.078819,71049216
mergesort,1000_aleatorio_D7_b.txt,1000,0.075635,71049216
